#BOX_NAME,CALL_TIME,CRANE_TIME,EXECUTION_TIME,
C0-0-17,491,491,498,
C0-1-7,492,498,505,
C0-2-7,500,505,512,
C0-3-16,511,512,519,
C0-4-16,517,519,526,
C0-5-1,519,526,533,
C0-6-1,521,533,540,
C0-7-4,532,540,547,
C0-8-16,534,547,554,
C0-9-9,535,554,561,
C0-10-14,544,561,568,
C0-11-9,567,568,575,
C0-12-14,568,575,582,
C0-13-27,574,582,589,
C0-14-10,587,589,596,
C0-15-1,594,596,603,
C0-16-1,604,604,611,
C0-17-13,607,611,618,
C0-18-16,626,626,633,
C0-19-9,636,636,643,
C0-20-3,642,643,650,
C0-21-4,644,650,657,
C0-22-43,648,657,664,
C0-23-4,657,664,671,
C0-24-1,671,671,678,
C0-25-2,685,685,692,
C0-26-1,696,696,703,
C0-27-15,711,711,718,
C0-28-26,724,724,731,
C0-29-4,748,748,755,
C0-30-12,759,759,766,
C0-31-10,793,793,800,
C0-32-9,799,800,807,
C0-33-28,801,807,814,
C0-34-40,807,814,821,
C0-35-1,809,821,828,
C0-36-21,834,834,841,
C0-37-4,835,841,848,
C0-38-10,864,864,871,
C0-39-24,895,895,902,
C0-40-16,899,902,909,
C0-41-1,934,934,941,
C0-42-38,942,942,949,
C0-43-29,968,968,975,
C0-44-13,975,975,982,
C0-45-3,1014,1014,1021,
C0-46-3,1022,1022,1029,
C0-47-5,1026,1029,1036,
C0-48-16,1035,1036,1043,
C0-49-4,1037,1043,1050,
C0-50-42,1068,1068,1075,
C0-51-5,1071,1075,1082,
C0-52-4,1080,1082,1089,
C1-53-17,1942,1942,1949,
C1-54-8,1975,1975,1982,
C1-55-20,1980,1982,1989,
C1-56-4,1993,1993,2000,
C1-57-5,1996,2000,2007,
C1-58-3,2003,2007,2014,
C1-59-23,2021,2021,2028,
C1-60-11,2027,2028,2035,
C1-61-11,2034,2035,2042,
C1-62-16,2035,2042,2049,
C1-63-9,2039,2049,2056,
C1-64-11,2040,2056,2063,
C1-65-7,2043,2063,2070,
C1-66-5,2046,2070,2077,
C1-67-19,2057,2077,2084,
C1-68-3,2058,2084,2091,
C1-69-9,2063,2091,2098,
C1-70-23,2066,2098,2105,
C1-71-5,2074,2105,2112,
C1-72-20,2078,2112,2119,
C1-73-9,2079,2119,2126,
C1-74-14,2095,2126,2133,
C1-75-2,2136,2136,2143,
C1-76-3,2144,2144,2151,
C1-77-46,2158,2158,2165,
C1-78-6,2169,2169,2176,
C1-79-2,2182,2182,2189,
C1-80-13,2187,2189,2196,
C1-81-6,2193,2196,2203,
C1-82-10,2194,2203,2210,
C1-83-25,2200,2210,2217,
C1-84-21,2204,2217,2224,
C1-85-3,2216,2224,2231,
C1-86-26,2228,2231,2238,
C1-87-14,2238,2238,2245,
C1-88-25,2243,2245,2252,
C1-89-9,2244,2252,2259,
C1-90-7,2307,2307,2314,
C1-91-9,2320,2320,2327,
C1-92-18,2388,2388,2395,
C1-93-14,2399,2399,2406,
C1-94-9,2406,2406,2413,
C1-95-8,2420,2420,2427,
C1-96-24,2436,2436,2443,
C1-97-31,2471,2471,2478,
C1-98-15,2473,2478,2485,
C1-99-5,2485,2485,2492,
C1-100-10,2513,2513,2520,
C2-101-11,3367,3367,3374,
C2-102-21,3368,3374,3381,
C2-103-4,3372,3381,3388,
