#BOX_NAME,CALL_TIME,EXECUTION_TIME,CALLER_BOX,
C37-1718-56,54000,54007,C34-1589-37,
C37-1740-54,54148,54155,C31-1427-37,
C37-1735-80,55465,55466,C28-1295-38,
C49-2288-78,75743,75750,C49-2278-52,
C49-2277-76,78803,78810,C21-996-54,
C49-2289-77,79702,79705,C32-1495-55,
C57-2662-69,82760,82767,C56-2638-57,
C56-2624-91,84522,84529,C49-2285-58,
C60-2783-100,87274,87281,C50-2319-60,
C60-2797-86,87327,87334,C22-1014-60,
C60-2779-110,87356,87357,C50-2317-60,
C56-2647-78,88504,88511,C43-2029-61,
C60-2775-103,88594,88601,C50-2312-61,
C60-2803-85,88615,88622,C46-2134-61,
C61-2846-90,88782,88789,C52-2408-61,
C61-2843-76,90039,90046,C60-2773-62,
C61-2842-124,90068,90075,C34-1590-62,
C60-2803-85,90209,90216,C61-2847-62,
C61-2830-84,91424,91431,C58-2694-63,
C62-2900-100,91478,91485,C62-2881-63,
C61-2844-98,91675,91682,C52-2398-63,
C61-2841-86,92768,92775,C51-2384-64,
C61-2858-77,92789,92796,C54-2526-64,
C61-2854-81,92923,92930,C59-2756-64,
C61-2854-81,92953,92960,C63-2950-64,
C64-2990-85,92992,92999,C43-2008-64,
C64-2983-90,93057,93064,C63-2925-64,
C62-2873-87,93114,93121,C62-2870-64,
C64-2979-142,93128,93135,C63-2921-64,
C62-2873-87,93149,93156,C63-2948-64,
C60-2775-103,93179,93186,C44-2051-64,
C61-2854-81,94334,94341,C63-2945-65,
C61-2828-92,94383,94390,C57-2683-65,
C61-2853-113,94543,94546,C58-2718-65,
C56-2647-78,94610,94617,C58-2696-65,
C60-2807-85,95645,95648,C58-2701-66,
C61-2837-88,95669,95676,C28-1298-66,
C57-2661-68,95725,95732,C56-2600-66,
C61-2837-88,97333,97340,C65-3034-67,
C64-2992-89,97449,97456,C64-2991-67,
C62-2899-89,97488,97495,C43-2004-67,
C60-2802-83,98556,98563,C60-2792-68,
C57-2658-79,98622,98629,C53-2463-68,
C51-2382-81,98767,98774,C51-2348-68,
C62-2899-89,100147,100154,C58-2699-69,
C58-2726-90,100321,100328,C57-2679-69,
C64-2997-88,101487,101494,C61-2856-70,
C64-2979-142,101505,101512,C43-1990-70,
C65-3020-83,101612,101619,C65-3017-70,
C62-2874-84,101748,101755,C62-2871-70,
C64-2990-85,102862,102869,C58-2710-71,
C60-2799-74,102939,102946,C60-2798-71,
C61-2835-74,102967,102974,C55-2582-71,
C62-2869-131,104230,104237,C62-2866-72,
C57-2677-88,104419,104426,C55-2579-72,
C71-3313-92,105781,105788,C44-2065-73,
C64-2995-92,105843,105850,C63-2928-73,
C64-2995-92,105993,106000,C70-3274-73,
C61-2846-90,106109,106116,C61-2852-73,
C64-2983-90,106176,106183,C62-2890-73,
C72-3337-101,107355,107362,C69-3209-74,
C67-3131-124,107526,107533,C58-2697-74,
C72-3339-96,108609,108616,C69-3195-75,
C71-3298-109,108753,108760,C68-3150-75,
C71-3319-114,110057,110064,C68-3165-76,
C64-2986-80,111617,111624,C63-2910-77,
C62-2876-88,112875,112882,C62-2875-78,
C71-3287-100,112985,112992,C52-2413-78,
C73-3381-90,113121,113128,C69-3222-78,
C64-2978-84,113180,113187,C63-2918-78,
C73-3379-92,113357,113364,C71-3288-78,
C72-3335-91,113381,113388,C71-3309-78,
C72-3357-119,114416,114419,C68-3169-79,
C66-3075-82,114590,114597,C60-2790-79,
C62-2868-133,114836,114843,C62-2865-79,
C74-3402-128,116231,116238,C73-3390-80,
C65-3023-88,117226,117233,C65-3013-81,
C72-3362-105,117324,117331,C72-3360-81,
C73-3393-114,117404,117411,C73-3384-81,
C71-3313-92,120599,120606,C66-3061-83,
C66-3072-95,122038,122045,C60-2776-84,
C62-2869-131,124742,124749,C71-3306-86,
C72-3353-98,125978,125981,C70-3268-87,
C72-3349-108,126131,126138,C69-3227-87,
C72-3340-106,128945,128948,C69-3226-89,
